providers_electricity,providers_heat,providers_slab_steel,providers_iron_forEAF,providers_iron_forBOF,providers_naturalgas,providers_coal,"galvanizing, continuous e_elec","galvanizing, continuous w_zinc","galvanizing, continuous w_steel","hot rolling, slab elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",0.38808172081107767,0.275,5.96,0.044029720156590645,0.8116682154110149,0.0494674902995625,0.4284161042715586,0.13964146555790294,0.07827260162801682,0.8096751275184096,2.2667,0.009067630422834148,0.00512260140567558,8.088728726833027e-08,0.1369437959048851
Electricity; at grid; generation mix - Duke Energy Carolinas,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - West/Northwest, BIT, Surface",0.3839235932628664,0.472,2.97,0.03334147257972697,0.5003822809090153,0.02213399619106092,0.6371838173278521,0.1475258745192581,0.06561283574314691,0.8921099499515137,2.3423,0.01187081971026904,0.008501834366864029,8.72399375407921e-08,0.1593320716503225
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, BOF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Processing",0.3996395790174934,0.472,7.15,0.04162769630082266,0.5967341090888992,0.01081295237687172,0.4857999334049155,0.15168232999094886,0.14262424074417102,0.865128364698664,2.4985,0.009595614385180876,0.005817431010022671,8.030463254702742e-08,0.14364556759167513
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - Southern Appalachia, BIT, Underground",0.4117918867959503,0.472,7.15,0.033080910892060056,0.451230046932826,0.03787102106113801,0.48160131134586853,0.14778006507427346,0.08212204997136707,0.9834890155328609,2.7187,0.009808279988142094,0.005775613081467117,8.357276998299661e-08,0.14484554986305404
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Strawn,"coal extraction and processing - Northern Appalachia, WC, Underground",0.3609768759895158,0.472,2.97,0.03698066088962018,0.7510604046367936,0.029952294468946643,0.556488200657504,0.14307462356509643,0.0885496184122869,0.7794699096871603,1.8375,0.009852179123985972,0.006708658157467452,5.8202672509191265e-08,0.160155449494492
Electricity; at grid; generation mix - South Carolina Electric & Gas Company,"heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground",0.40055122400703813,0.183,7.15,0.039582913373258116,0.6904424597000601,0.041817540989778856,0.506958932300093,0.14601176073614766,0.09671564323815882,0.9010329559407283,2.1955,0.008020580957879213,0.0044237494950571665,7.229680884904049e-08,0.13032746043262733
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, WC, Underground",0.2801961448808895,0.183,7.15,0.03429304809815551,0.6010645103310832,0.025623675221142533,0.42399857936302177,0.15358830657031414,0.130848385848146,0.9757213226845398,2.4346,0.008060640724957054,0.004437604157006387,7.436247448181066e-08,0.12238980053215008
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.43027423046953084,0.275,7.15,0.042831639895156946,0.5328391611114466,0.022126647782487883,0.6049354458876022,0.15177160350157354,0.1358318722428053,0.9454803587604259,2.4635,0.008580014432712862,0.004888700389925007,7.651350639079865e-08,0.12782417529147527
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",0.4283214630440489,0.183,4.76,0.042421201020095264,0.7108136424106042,0.013418478705579516,0.4914369323859537,0.15055968508138265,0.10157044816816746,0.7766313669948495,2.1135,0.008415541185971624,0.0048571646366221246,7.49237754771949e-08,0.12549744473081229
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Arkoma,"coal extraction and processing - Southern Appalachia, BIT, Underground",0.403400789637159,0.275,7.15,0.04057000031643029,0.575451851968164,0.021082585640657427,0.4839204268542765,0.14502698937053696,0.06621482501863904,0.9514571862801449,2.4988,0.008301872901468513,0.00482818158950417,7.399308419135203e-08,0.12436725787721678
