providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.068133836,0.075904781,0.040208204,0.818554799,0.025906941,0.478305123,0.156777606,0.088604563,0.798156859,1.1289,0.003351151,0.001227877,2.94E-08,0.065430698
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.073941308,0.074383665,0.041376484,0.864177225,0.012956363,0.487294682,0.145634763,0.132131119,0.818067385,1.0908,0.003620403,0.001202748,2.75E-08,0.079820948
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.073811095,0.075161682,0.036608039,0.886723607,0.033409325,0.546986068,0.15191114,0.053325645,0.921029697,0.9935,0.002855126,0.001157974,2.09E-08,0.067470029
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.061818647,0.077029139,0.041645959,0.883541385,0.016142495,0.475223783,0.146174467,0.114141621,1.003380274,1.0519,0.002950356,0.001141398,2.57E-08,0.059523977
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.071868049,0.074182275,0.033800854,0.864937905,0.013871424,0.470994261,0.146819689,0.091110544,0.88040139,0.931,0.00289961,0.0011029,2.16E-08,0.067954154
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.088235838,0.075480253,0.04049846,0.800046599,0.011543865,0.526606847,0.160720792,0.149887252,0.891348724,1.1271,0.00335429,0.001279446,2.58E-08,0.075127973
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.089975093,0.076261268,0.041113399,0.864685286,0.013583283,0.470038981,0.154763916,0.075508047,0.937875834,0.9466,0.002458449,0.00110906,2.17E-08,0.059857071
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.088171354,0.075403534,0.03569466,0.886507439,0.032305766,0.536352023,0.151503281,0.127598119,0.943897732,1.0309,0.002885094,0.001098787,2.80E-08,0.059906747
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.063206899,0.076412001,0.038654241,0.824502494,0.038720417,0.568099652,0.152637805,0.085129284,0.854412915,1.085,0.003220712,0.001229467,2.41E-08,0.073334123
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.076339099,0.076492349,0.040410307,0.857193074,0.02759231,0.584238643,0.150742045,0.073112644,0.856785521,1.1736,0.003304001,0.001197776,2.84E-08,0.065234069
Electricity; at grid; generation mix - Duke Energy Carolinas,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - Import, BIT, Underground",0.078466039,0.074960717,0.04127817,0.823276966,0.011142527,0.437181666,0.145078532,0.055006256,0.996838289,1.0423,0.002953751,0.001216941,2.74E-08,0.061031618
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.060047181,0.074993553,0.039769061,0.861453606,0.029134483,0.425970233,0.159138736,0.124361369,0.891162305,0.7665,0.002461399,0.001138585,2.33E-08,0.052707397
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.067386258,0.0762525,0.038284559,0.800792512,0.045068887,0.448830227,0.146390558,0.053087461,0.907644392,1.2336,0.00395915,0.001280795,3.05E-08,0.083181297
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.078439513,0.076369737,0.043745211,0.906727523,0.045101804,0.480529014,0.153391971,0.06708471,0.890250971,0.9842,0.002729594,0.001073123,2.67E-08,0.056934617
Electricity; at grid; generation mix - NorthWestern Corporation,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.060224461,0.076291527,0.03302555,0.857190925,0.01877248,0.509509195,0.155605648,0.105312401,0.973897952,1.3746,0.003546913,0.001175443,3.77E-08,0.068005799
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.06501268,0.076925339,0.035603334,0.81861994,0.029834046,0.484760437,0.145867956,0.067344332,0.866745748,1.2036,0.003391601,0.00124712,2.92E-08,0.07286819
Electricity; at grid; generation mix - Portland General Electric Company,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.084357877,0.078256495,0.043223014,0.796710745,0.021860165,0.466018702,0.15035863,0.075856447,1.016719214,0.7389,0.002261793,0.00112167,1.77E-08,0.060346374
